record_number,first_name,last_name,transaction_date,card_number,card_expire,card_type,card_sec_code,transaction_amount
19,Shannon,Leonard,2025-05-21,349069153748202,05/27,JCB 15 digit,35,9965.12
46,Stacy,Price,2025-05-06,180011445788176,12/32,JCB 16 digit,34,5955.01
50,Zachary,Adams,2025-05-05,180081490251677,04/29,Maestro,90,17176.57
136,Frank,Brooks,2025-05-16,4598483971171,01/32,VISA 16 digit,45,28223.14
167,Cheryl,Dixon,2025-05-04,371288261835997,11/26,Maestro,96,18583.26
226,Janet,Ray,2025-05-16,371028954905198,07/27,JCB 16 digit,93,5672.5
235,Robert,Harris,2025-05-17,579912440446,01/32,VISA 16 digit,86,6068.71
251,Stacey,King,2025-05-04,568956954420,11/31,JCB 16 digit,73,32592.21
276,Heather,Jones,2025-05-03,4.863391077733E+018,03/28,VISA 16 digit,55,57055.54
294,Craig,Rodriguez,2025-05-21,38427749954344,11/30,Discover,99,6004.34
311,Jennifer,Baker,2025-05-06,30236666464205,09/28,Maestro,71,86444.25
314,Alexandra,Williams,2025-05-05,345098726325721,04/26,VISA 16 digit,74,9425.11
320,Joshua,Peters,2025-05-21,630472534480,12/30,VISA 19 digit,89,75587.31
479,Max,Lindsey,2025-05-18,30078364566695,04/34,VISA 13 digit,84,86373.32
534,Pamela,Smith,2025-05-17,4165061567142,12/29,VISA 13 digit,78,82093
563,Whitney,Tucker,2025-05-21,4.2967800276796E+018,09/28,Discover,41,68458.78
619,Vickie,Rodriguez,2025-05-12,213153962977203,04/26,Discover,54,49348.59
654,Nicole,Cunningham,2025-05-15,4745085884191,10/28,JCB 16 digit,10,8368.91
691,Kevin,Shaffer,2025-05-06,2704146120683194,10/33,Discover,98,83163.49
716,Robert,Davis,2025-05-14,30203638505770,10/30,Diners Club / Carte Blanche,24,5985.66
733,James,Bridges,2025-05-14,6011938246923697,02/28,American Express,32,6014.38
808,Chelsea,Palmer,2025-05-02,6502002049768332,04/27,VISA 19 digit,71,48889.78
814,Jennifer,Miller,2025-05-15,3590510647023603,07/31,JCB 15 digit,57,36690.26
833,Samantha,Smith,2025-05-16,4320845616163310,09/29,VISA 16 digit,0,27251.22
848,Patricia,Graham,2025-05-16,3510128304087907,06/27,VISA 16 digit,94,15268.23
859,Darryl,James,2025-05-09,30376609133036,02/32,JCB 16 digit,79,87137.63
893,Erin,Williams,2025-05-12,376886854510441,05/28,VISA 16 digit,64,71961.05
910,Scott,Jones,2025-05-04,30184022604363,09/28,Diners Club / Carte Blanche,35,30180.44
959,Jennifer,Carter,2025-05-12,4862761431906,05/32,JCB 15 digit,94,95359.15
982,Patrick,Willis,2025-05-08,4020580345433105,07/25,JCB 16 digit,85,86437.32
995,Jeffery,Ellis,2025-05-13,30294229377232,05/34,American Express,82,8946.93
997,Lindsay,Morgan,2025-05-16,375520915431088,05/31,VISA 19 digit,53,8763.93
